,Reg_Vmax,V_max,Dis_Vmax,Time_Vmax,Primero,Ultimo,Amplitud,Tipo,Reg_Vmin,V_min,Dis_Vmin,Time_Vmin
0,13,306,304.7713888888889,3.636,0,17,356.60027777777776,Recta,0,296,16.115555555555556,0.196
1,18,277,394.2602777777778,4.716,18,25,88.33333333333337,Frenada,25,108,482.59361111111116,6.796
2,26,104,489.5269444444445,7.0360000000000005,26,28,16.96666666666664,SemiRecta,27,101,501.87138888888893,7.476000000000001
3,29,102,515.5319444444444,7.955,29,29,0.0,Frenada,29,102,515.5319444444444,7.955
4,57,257,887.2794444444444,15.556000000000001,30,57,364.35861111111103,Recta,33,85,537.6016666666667,8.836
5,58,259,916.0572222222222,15.956000000000001,58,62,44.0,Frenada,62,176,960.0572222222222,16.756
6,98,253,1515.813611111111,25.836000000000002,63,98,541.0897222222221,Recta,64,159,985.323888888889,17.316000000000003
7,99,253,1535.4913888888889,26.116000000000003,99,101,36.46666666666647,Frenada,101,231,1571.9580555555553,26.676000000000002
8,129,286,2118.913611111111,34.356,102,137,661.1999999999998,Recta,103,216,1615.5580555555553,27.396
9,138,263,2281.4580555555553,36.436,138,145,91.75555555555547,Frenada,145,163,2373.213611111111,38.116
10,176,278,2894.1077777777773,46.556000000000004,146,178,560.0719444444444,Recta,149,146,2415.191388888888,39.116
11,179,277,2955.8299999999995,47.356,179,184,68.17166666666708,Frenada,184,183,3024.0016666666666,48.516000000000005
12,226,307,3891.779444444445,60.356,185,239,1124.3894444444445,Recta,185,178,3039.8238888888886,48.836000000000006
13,240,261,4175.8133333333335,63.79600000000001,240,243,36.766666666666424,Frenada,243,200,4212.58,64.396
14,298,311,5212.786111111112,77.91600000000001,244,305,1137.2727777777782,Recta,246,173,4252.846666666667,65.196
15,306,299,5381.3247222222235,79.87700000000001,306,313,87.29611111111171,Frenada,313,119,5468.620833333335,81.717
16,353,295,6070.551944444447,91.91600000000001,314,354,592.4830555555554,Recta,314,107,5491.180000000002,82.476
