Driver,LapNumber,Position,Compound,Stint,LapTime,TiempoAcumulado
VER,1.0,1.0,MEDIUM,1.0,0 days 00:01:23.080000,0 days 00:01:23.080000
VER,2.0,1.0,MEDIUM,1.0,0 days 00:01:18.075000,0 days 00:02:41.155000
VER,3.0,1.0,MEDIUM,1.0,0 days 00:01:17.767000,0 days 00:03:58.922000
VER,4.0,1.0,MEDIUM,1.0,0 days 00:01:17.203000,0 days 00:05:16.125000
VER,5.0,1.0,MEDIUM,1.0,0 days 00:01:17.371000,0 days 00:06:33.496000
VER,6.0,1.0,MEDIUM,1.0,0 days 00:01:17.607000,0 days 00:07:51.103000
VER,7.0,1.0,MEDIUM,1.0,0 days 00:01:17.565000,0 days 00:09:08.668000
VER,8.0,1.0,MEDIUM,1.0,0 days 00:01:32.655000,0 days 00:10:41.323000
VER,9.0,1.0,MEDIUM,1.0,0 days 00:01:17.495000,0 days 00:11:58.818000
VER,10.0,1.0,MEDIUM,1.0,0 days 00:01:17.359000,0 days 00:13:16.177000
VER,11.0,1.0,MEDIUM,1.0,0 days 00:01:17.268000,0 days 00:14:33.445000
VER,12.0,1.0,MEDIUM,1.0,0 days 00:01:33.192000,0 days 00:16:06.637000
VER,13.0,1.0,HARD,2.0,0 days 00:02:29.911000,0 days 00:18:36.548000
VER,14.0,1.0,HARD,2.0,0 days 00:02:04.639000,0 days 00:20:41.187000
VER,15.0,1.0,HARD,2.0,0 days 00:01:54.677000,0 days 00:22:35.864000
VER,16.0,1.0,HARD,2.0,0 days 00:02:14.905000,0 days 00:24:50.769000
VER,17.0,1.0,HARD,2.0,0 days 00:01:17.145000,0 days 00:26:07.914000
VER,18.0,1.0,HARD,2.0,0 days 00:01:16.682000,0 days 00:27:24.596000
VER,19.0,1.0,HARD,2.0,0 days 00:01:16.630000,0 days 00:28:41.226000
VER,20.0,1.0,HARD,2.0,0 days 00:01:16.607000,0 days 00:29:57.833000
VER,21.0,1.0,HARD,2.0,0 days 00:01:16.652000,0 days 00:31:14.485000
VER,22.0,1.0,HARD,2.0,0 days 00:01:16.697000,0 days 00:32:31.182000
VER,23.0,1.0,HARD,2.0,0 days 00:01:16.946000,0 days 00:33:48.128000
VER,24.0,1.0,HARD,2.0,0 days 00:01:16.641000,0 days 00:35:04.769000
VER,25.0,1.0,HARD,2.0,0 days 00:01:16.643000,0 days 00:36:21.412000
VER,26.0,1.0,HARD,2.0,0 days 00:01:16.785000,0 days 00:37:38.197000
VER,27.0,1.0,HARD,2.0,0 days 00:01:16.928000,0 days 00:38:55.125000
VER,28.0,1.0,HARD,2.0,0 days 00:01:17.004000,0 days 00:40:12.129000
VER,29.0,1.0,HARD,2.0,0 days 00:01:16.807000,0 days 00:41:28.936000
VER,30.0,1.0,HARD,2.0,0 days 00:01:17.016000,0 days 00:42:45.952000
VER,31.0,1.0,HARD,2.0,0 days 00:01:16.849000,0 days 00:44:02.801000
VER,32.0,1.0,HARD,2.0,0 days 00:01:16.918000,0 days 00:45:19.719000
VER,33.0,1.0,HARD,2.0,0 days 00:01:16.830000,0 days 00:46:36.549000
VER,34.0,1.0,HARD,2.0,0 days 00:01:17.054000,0 days 00:47:53.603000
VER,35.0,1.0,HARD,2.0,0 days 00:01:17.225000,0 days 00:49:10.828000
VER,36.0,1.0,HARD,2.0,0 days 00:01:17.765000,0 days 00:50:28.593000
VER,37.0,1.0,HARD,2.0,0 days 00:01:17.094000,0 days 00:51:45.687000
VER,38.0,1.0,HARD,2.0,0 days 00:01:17.011000,0 days 00:53:02.698000
VER,39.0,1.0,HARD,2.0,0 days 00:01:17.273000,0 days 00:54:19.971000
VER,40.0,1.0,HARD,2.0,0 days 00:01:17.400000,0 days 00:55:37.371000
VER,41.0,1.0,HARD,2.0,0 days 00:01:17.017000,0 days 00:56:54.388000
VER,42.0,1.0,HARD,2.0,0 days 00:01:33.273000,0 days 00:58:27.661000
VER,43.0,1.0,MEDIUM,3.0,0 days 00:01:19.311000,0 days 00:59:46.972000
VER,44.0,1.0,MEDIUM,3.0,0 days 00:01:16.322000,0 days 01:01:03.294000
VER,45.0,1.0,MEDIUM,3.0,0 days 00:01:16.092000,0 days 01:02:19.386000
VER,46.0,1.0,MEDIUM,3.0,0 days 00:01:16.204000,0 days 01:03:35.590000
VER,47.0,1.0,MEDIUM,3.0,0 days 00:01:16.036000,0 days 01:04:51.626000
VER,48.0,1.0,MEDIUM,3.0,0 days 00:01:16.109000,0 days 01:06:07.735000
VER,49.0,1.0,MEDIUM,3.0,0 days 00:01:15.856000,0 days 01:07:23.591000
VER,50.0,1.0,MEDIUM,3.0,0 days 00:01:15.919000,0 days 01:08:39.510000
VER,51.0,1.0,MEDIUM,3.0,0 days 00:01:15.795000,0 days 01:09:55.305000
VER,52.0,1.0,MEDIUM,3.0,0 days 00:01:16.103000,0 days 01:11:11.408000
VER,53.0,1.0,MEDIUM,3.0,0 days 00:01:15.694000,0 days 01:12:27.102000
VER,54.0,1.0,MEDIUM,3.0,0 days 00:01:15.732000,0 days 01:13:42.834000
VER,55.0,1.0,MEDIUM,3.0,0 days 00:01:15.820000,0 days 01:14:58.654000
VER,56.0,1.0,MEDIUM,3.0,0 days 00:01:15.888000,0 days 01:16:14.542000
VER,57.0,1.0,MEDIUM,3.0,0 days 00:01:15.945000,0 days 01:17:30.487000
VER,58.0,1.0,MEDIUM,3.0,0 days 00:01:15.957000,0 days 01:18:46.444000
VER,59.0,1.0,MEDIUM,3.0,0 days 00:01:15.775000,0 days 01:20:02.219000
VER,60.0,1.0,MEDIUM,3.0,0 days 00:01:15.866000,0 days 01:21:18.085000
VER,61.0,1.0,MEDIUM,3.0,0 days 00:01:15.928000,0 days 01:22:34.013000
VER,62.0,1.0,MEDIUM,3.0,0 days 00:01:15.933000,0 days 01:23:49.946000
VER,63.0,1.0,MEDIUM,3.0,0 days 00:01:15.937000,0 days 01:25:05.883000
VER,64.0,1.0,MEDIUM,3.0,0 days 00:01:16.214000,0 days 01:26:22.097000
VER,65.0,1.0,MEDIUM,3.0,0 days 00:01:15.897000,0 days 01:27:37.994000
VER,66.0,1.0,MEDIUM,3.0,0 days 00:01:16.233000,0 days 01:28:54.227000
VER,67.0,1.0,MEDIUM,3.0,0 days 00:01:16.121000,0 days 01:30:10.348000
VER,68.0,1.0,MEDIUM,3.0,0 days 00:01:15.594000,0 days 01:31:25.942000
VER,69.0,1.0,MEDIUM,3.0,0 days 00:01:16.169000,0 days 01:32:42.111000
VER,70.0,1,MEDIUM,3.0,0 days 00:01:16.237000,0 days 01:33:58.348000
ALO,1.0,3.0,MEDIUM,1.0,0 days 00:01:24.892000,0 days 00:01:24.892000
ALO,2.0,3.0,MEDIUM,1.0,0 days 00:01:18.599000,0 days 00:02:43.491000
ALO,3.0,3.0,MEDIUM,1.0,0 days 00:01:17.438000,0 days 00:04:00.929000
ALO,4.0,3.0,MEDIUM,1.0,0 days 00:01:17.326000,0 days 00:05:18.255000
ALO,5.0,3.0,MEDIUM,1.0,0 days 00:01:17.594000,0 days 00:06:35.849000
ALO,6.0,3.0,MEDIUM,1.0,0 days 00:01:17.820000,0 days 00:07:53.669000
ALO,7.0,3.0,MEDIUM,1.0,0 days 00:01:18.208000,0 days 00:09:11.877000
ALO,8.0,3.0,MEDIUM,1.0,0 days 00:01:33.379000,0 days 00:10:45.256000
ALO,9.0,3.0,MEDIUM,1.0,0 days 00:01:17.680000,0 days 00:12:02.936000
ALO,10.0,3.0,MEDIUM,1.0,0 days 00:01:17.789000,0 days 00:13:20.725000
ALO,11.0,3.0,MEDIUM,1.0,0 days 00:01:17.393000,0 days 00:14:38.118000
ALO,12.0,3.0,MEDIUM,1.0,0 days 00:01:39.554000,0 days 00:16:17.672000
ALO,13.0,3.0,HARD,2.0,0 days 00:02:21.915000,0 days 00:18:39.587000
ALO,14.0,3.0,HARD,2.0,0 days 00:02:04.288000,0 days 00:20:43.875000
ALO,15.0,3.0,HARD,2.0,0 days 00:01:54.680000,0 days 00:22:38.555000
ALO,16.0,3.0,HARD,2.0,0 days 00:02:12.916000,0 days 00:24:51.471000
ALO,17.0,3.0,HARD,2.0,0 days 00:01:18.498000,0 days 00:26:09.969000
ALO,18.0,3.0,HARD,2.0,0 days 00:01:17.073000,0 days 00:27:27.042000
ALO,19.0,3.0,HARD,2.0,0 days 00:01:16.575000,0 days 00:28:43.617000
