Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,RelativeDistance,Status,X,Y,Z,Distance,G_lon,G_lat,TimeSeconds
2023-06-30 16:04:32.088,0 days 01:19:11.603000,,1338.7008333333338,0 days 00:00:00,10866,295,7,100,False,12,interpolation,-2.534015963552996e-06,OnTrack,1035,-1223,7213,0.0,0.0,-0.5,0.0
2023-06-30 16:04:32.226,0 days 01:19:11.741000,,1338.7008333333338,0 days 00:00:00.138000,10564,295,7,100,False,12,car,0.002627222660379489,OnTrack,896,-1263,7214,11.308333333333334,0.22,-0.38,0.138
2023-06-30 16:04:32.467,0 days 01:19:11.982000,,1338.7008333333338,0 days 00:00:00.379000,10634,298,7,100,False,12,pos,0.007290334068445649,OnTrack,723,-1310,7214,31.257777777777775,0.42,-0.14,0.379
2023-06-30 16:04:32.626,0 days 01:19:12.141000,44,1338.7008333333338,0 days 00:00:00.538000,10704,301,8,100,False,12,car,0.010397244972088911,OnTrack,658,-1327,7213,44.551944444444445,0.41,-0.1,0.538
2023-06-30 16:04:32.747,0 days 01:19:12.262000,44,1333.3008333333337,0 days 00:00:00.659000,10741,302,8,100,False,12,pos,0.012770262698758906,OnTrack,602,-1343,7214,54.7025,0.42,-0.07,0.659
2023-06-30 16:04:32.786,0 days 01:19:12.301000,44,1327.9008333333336,0 days 00:00:00.698000,10779,304,8,100,False,12,car,0.013536230729909062,OnTrack,577,-1349,7214,57.99583333333333,0.35,-0.04,0.698
2023-06-30 16:04:32.927,0 days 01:19:12.442000,44,1322.5230555555559,0 days 00:00:00.839000,10819,304,8,100,False,12,pos,0.016310457573631785,OnTrack,463,-1380,7214,69.9025,0.3,0.03,0.839
2023-06-30 16:04:32.946,0 days 01:19:12.461000,44,1317.1452777777781,0 days 00:00:00.858000,10859,305,8,100,False,12,car,0.016685542098774674,OnTrack,443,-1385,7214,71.51222222222222,0.33,0.07,0.858
2023-06-30 16:04:33.226,0 days 01:19:12.741000,44,1298.3230555555558,0 days 00:00:01.138000,10984,308,8,100,False,12,car,0.022251046452278163,OnTrack,101,-1477,7214,95.46777777777777,0.34,0.09,1.138
2023-06-30 16:04:33.267,0 days 01:19:12.782000,44,1292.9675000000007,0 days 00:00:01.179000,10981,309,8,100,False,12,pos,0.023069804579993736,OnTrack,67,-1487,7214,98.98694444444445,0.31,0.08,1.179
2023-06-30 16:04:33.386,0 days 01:19:12.901000,44,1287.6119444444453,0 days 00:00:01.298000,10979,310,8,100,False,12,car,0.025451985876371083,OnTrack,7,-1503,7213,109.23416666666667,0.26,-0.01,1.298
2023-06-30 16:04:33.567,0 days 01:19:13.082000,44,1277.078611111112,0 days 00:00:01.479000,11024,311,8,100,False,12,pos,0.029099834274083653,OnTrack,-73,-1526,7214,124.87055555555555,0.26,-0.06,1.479
2023-06-30 16:04:33.706,0 days 01:19:13.221000,44,1266.5452777777784,0 days 00:00:01.618000,11070,313,8,100,False,12,car,0.03191581839082969,OnTrack,-242,-1571,7215,136.95583333333335,0.27,-0.08,1.618
2023-06-30 16:04:33.847,0 days 01:19:13.362000,44,1260.0175000000004,0 days 00:00:01.759000,11122,314,8,100,False,12,pos,0.034780877874974844,OnTrack,-418,-1619,7217,149.25416666666666,0.26,-0.07,1.759
2023-06-30 16:04:33.906,0 days 01:19:13.421000,44,1253.4897222222226,0 days 00:00:01.818000,11175,315,8,100,False,12,car,0.035981527739979965,OnTrack,-464,-1631,7217,154.41666666666669,0.22,-0.03,1.818
2023-06-30 16:04:34.146,0 days 01:19:13.661000,44,1238.1563888888895,0 days 00:00:02.058000,11226,316,8,100,False,12,car,0.04087586737552848,OnTrack,-554,-1655,7218,175.48333333333332,0.2,0.01,2.058
2023-06-30 16:04:34.207,0 days 01:19:13.722000,44,1229.2897222222227,0 days 00:00:02.119000,11259,317,8,100,False,12,pos,0.042124077025209615,OnTrack,-605,-1669,7220,180.85472222222225,0.2,0.04,2.119
2023-06-30 16:04:34.426,0 days 01:19:13.941000,44,1220.4230555555562,0 days 00:00:02.338000,11292,318,8,100,False,12,car,0.04662206992232754,OnTrack,-900,-1748,7226,200.19972222222225,0.21,0.06,2.338
2023-06-30 16:04:34.467,0 days 01:19:13.982000,44,1212.989722222223,0 days 00:00:02.379000,11295,319,8,100,False,12,pos,0.04746733891005734,OnTrack,-946,-1761,7227,203.8327777777778,0.17,0.09,2.379
2023-06-30 16:04:34.666,0 days 01:19:14.181000,44,1205.5563888888898,0 days 00:00:02.578000,11299,320,8,100,False,12,car,0.051578363224148834,OnTrack,-1058,-1791,7229,221.52166666666668,0.1,0.12,2.578
2023-06-30 16:04:34.847,0 days 01:19:14.362000,44,1198.2897222222227,0 days 00:00:02.759000,11319,320,8,100,False,12,pos,0.05531377914750744,OnTrack,-1152,-1817,7234,237.61055555555558,0.07,0.13,2.759
2023-06-30 16:04:34.906,0 days 01:19:14.421000,44,1191.0230555555559,0 days 00:00:02.818000,11339,320,8,100,False,12,car,0.056534656525970124,OnTrack,-1209,-1832,7236,242.85500000000005,0.12,0.09,2.818
2023-06-30 16:04:35.148,0 days 01:19:14.663000,44,1179.2158333333339,0 days 00:00:03.060000,11368,321,8,100,False,12,pos,0.06157110756445165,OnTrack,-1503,-1915,7250,264.4333333333334,0.16,0.04,3.06
2023-06-30 16:04:35.307,0 days 01:19:14.822000,44,1167.408611111112,0 days 00:00:03.219000,11397,323,8,100,False,12,car,0.06489343227247793,OnTrack,-1616,-1946,7255,278.6991666666667,0.16,-0.0,3.219
2023-06-30 16:04:35.487,0 days 01:19:15.002000,44,1160.5419444444453,0 days 00:00:03.399000,11438,323,8,100,False,12,pos,0.06865800290460947,OnTrack,-1720,-1975,7261,294.84916666666675,0.14,-0.05,3.399
2023-06-30 16:04:35.547,0 days 01:19:15.062000,44,1153.6752777777788,0 days 00:00:03.459000,11479,324,8,100,False,12,car,0.06991167924057198,OnTrack,-1766,-1988,7263,300.2491666666667,0.09,-0.14,3.459
2023-06-30 16:04:35.727,0 days 01:19:15.242000,44,1148.0641666666675,0 days 00:00:03.639000,11473,324,8,100,False,12,pos,0.07367303009886113,OnTrack,-1927,-2033,7275,316.4491666666667,0.04,-0.2,3.639
2023-06-30 16:04:35.747,0 days 01:19:15.262000,44,1142.4530555555561,0 days 00:00:03.659000,11467,324,8,100,False,12,car,0.0740935517139837,OnTrack,-1944,-2037,7276,318.2491666666667,-0.27,-0.14,3.659
2023-06-30 16:04:35.887,0 days 01:19:15.402000,44,1138.0308333333337,0 days 00:00:03.799000,11485,324,8,50,False,12,pos,0.07703264162065557,OnTrack,-2066,-2070,7285,330.84916666666675,-1.6,-0.02,3.799
